,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
2032,JavaScript with BackboneJS and Bootstrap CSS - Advanced,True,25,1758,37,16,Intermediate Level,3.5 hours,Web Development
2969,QuickBooks 2015 Training for Newbies,True,200,2506,21,76,Beginner Level,6 hours,Business Finance
2203,Learn How to Play the Violin - Violin Basics,True,20,365,10,12,Beginner Level,32 mins,Musical Instruments
2190,Learn how to create a WordPress theme using Pinegrow,False,Free,11812,152,19,Intermediate Level,2 hours,Web Development
356,Aprende cómo tocar el Bajo Sexto,True,50,10,2,17,All Levels,3 hours,Musical Instruments
347,Aprende a tocar las escalas en el acordeón de botones.,True,20,2,0,21,Beginner Level,1 hour,Musical Instruments
2942,Proven Methods In Trading Candlestick Patterns,True,75,438,10,22,All Levels,1.5 hours,Business Finance
220,Advanced Trumpet Studies - Learn to Master the Trumpet!​,True,50,184,4,82,Intermediate Level,4 hours,Musical Instruments
3595,Wordpress - Create an Outstanding Website in 2 hours,True,30,1772,13,48,Beginner Level,2.5 hours,Web Development
185,Adobe Photoshop pentru Social Media,True,20,0,0,12,Beginner Level,34 mins,Graphic Design
3602,Wordpress Beginner Tutorial: Build Your First Website,False,Free,6402,104,23,Beginner Level,1.5 hours,Web Development
1859,Instant Harmonica – play Beethoven’s Ode to Joy right now!,True,20,455,3,11,Beginner Level,1 hour,Musical Instruments
1103,Drawing in PowerPoint: Block diagram + Experiments + Cartoon,True,155,2911,29,37,Beginner Level,2 hours,Graphic Design
3325,The Complete WordPress Website Business Course,True,150,13439,1981,89,All Levels,20.5 hours,Web Development
3219,Technical Trading and Investing Made Easy,True,40,217,7,27,Intermediate Level,1.5 hours,Business Finance
3384,The Visual Learning Basic Accounting Course,True,20,9,0,6,Beginner Level,1 hour,Business Finance
2100,Learn About Bitcoin and Bitcoin Mining,True,20,520,10,9,Beginner Level,32 mins,Business Finance
752,Chugging - it don't mean a thing if it ain't got that swing!,True,200,382,21,25,All Levels,2.5 hours,Musical Instruments
1438,Getting Started as a Web Developer,False,Free,9833,241,15,Beginner Level,1 hour,Web Development
3101,Slap Bass For Beginners,True,50,79,3,25,All Levels,1.5 hours,Musical Instruments
2558,Mastering CSS,True,95,1815,249,42,Expert Level,5 hours,Web Development
3132,Step by Step Classical Guitar Course,True,100,9,1,45,Beginner Level,4.5 hours,Musical Instruments
1858,Instant Harmonica - play Yesterday + Scarborough Fair today!,True,40,33,5,26,All Levels,2 hours,Musical Instruments
2530,Master Oboe Playing: Intermediate Instruction Made Simple!,True,50,98,6,73,Intermediate Level,5.5 hours,Musical Instruments
2053,jQuery for Beginners - Create Website Animations Easily,True,100,2971,285,28,All Levels,3 hours,Web Development
1053,Didgeridoo - from zero to HERO! Part Three. Advanced level.,True,35,209,5,19,Expert Level,1.5 hours,Musical Instruments
196,Advanced Bassoon Studies - Learn to Master the Bassoon!​,True,50,197,0,106,All Levels,6.5 hours,Musical Instruments
704,Canva Graphics Design for Entrepreneurs - Design 11 Projects,True,200,18303,202,54,All Levels,3.5 hours,Graphic Design
106,Accounting 2 Simplified for You,True,45,1446,23,27,Beginner Level,5 hours,Business Finance
447,Become a Web Developer from Scratch,True,120,69186,2408,197,All Levels,27.5 hours,Web Development
964,Crowdfunding to Win,True,40,627,15,15,All Levels,1.5 hours,Business Finance
609,Build Advanced Responsive Websites with Foundation 6 & SASS,True,200,1276,245,271,All Levels,22.5 hours,Web Development
1412,Fundraise the Simplified Way: A Crowdfunding Blueprint,True,35,7,1,19,All Levels,1 hour,Business Finance
198,Advanced Clarinet Studies - Learn to Master the Clarinet!,True,50,148,3,77,All Levels,4.5 hours,Musical Instruments
3019,Rhythm to Rock Drum Lesson 4,True,20,12,3,12,Beginner Level,1.5 hours,Musical Instruments
2194,Learn How to File Taxes for Uber and Lyft Drivers,True,40,294,5,25,All Levels,2 hours,Business Finance
774,Codeigniter: How to use Codeigniter that drives knowledge,True,150,14606,235,21,All Levels,3 hours,Web Development
3239,The Advanced Web Developer Course,True,100,6890,99,90,Intermediate Level,10.5 hours,Web Development
969,CSS :basics for beginners,True,30,1085,8,13,All Levels,32 mins,Web Development
778,Coding Made Easy: A Beginners Guide To JavaScript,True,40,1950,33,16,Beginner Level,1 hour,Web Development
241,AJAX Development,True,20,7867,147,23,All Levels,3 hours,Web Development
755,Clarinet Pro Series - Fall in love with the Clarinet,True,50,95,3,30,All Levels,6 hours,Musical Instruments
3649,WP Plugin Development - Build your own plugin!,True,200,5439,22,24,Beginner Level,4 hours,Web Development
2192,Learn How To Design a Logo in Adobe Illustrator in 30 Mins,True,50,1270,53,14,Beginner Level,30 mins,Graphic Design
1385,Foundations of Front-End Web Development,False,Free,8337,300,129,Beginner Level,20.5 hours,Web Development
